Positionsdatenaufzeichnung: 
die Positionsdaten werden als Schritt sowie absolut angegeben
die Abtastzeit wird selbständig eingelesen


Die Zeit wird vom Zeitpunkt des Starts gemessen
-----------------------------------------------------------------------

Zeitpunkt: 0ms, Schritt: 0, Distanz: 0.0mm
Zeitpunkt: 6560ms, Schritt: -10736, Distanz: 3086.6mm
Zeitpunkt: 6580ms, Schritt: -10736, Distanz: 3086.6mm
Zeitpunkt: 6600ms, Schritt: -10774, Distanz: 3097.5249999999996mm
Zeitpunkt: 6620ms, Schritt: -10851, Distanz: 3119.6625mm
Zeitpunkt: 6640ms, Schritt: -10851, Distanz: 3119.6625mm
Zeitpunkt: 6660ms, Schritt: -10889, Distanz: 3130.5874999999996mm
Zeitpunkt: 6680ms, Schritt: -10927, Distanz: 3141.5125mm
Zeitpunkt: 6700ms, Schritt: -11003, Distanz: 3163.3624999999997mm
Zeitpunkt: 6720ms, Schritt: -11003, Distanz: 3163.3624999999997mm
Zeitpunkt: 6740ms, Schritt: -11040, Distanz: 3173.9999999999995mm
Zeitpunkt: 6760ms, Schritt: -11077, Distanz: 3184.6375mm
Zeitpunkt: 6780ms, Schritt: -11151, Distanz: 3205.9125mm
Zeitpunkt: 6800ms, Schritt: -11188, Distanz: 3216.5499999999997mm
Zeitpunkt: 6820ms, Schritt: -11260, Distanz: 3237.2499999999995mm
Zeitpunkt: 6840ms, Schritt: -11260, Distanz: 3237.2499999999995mm
Zeitpunkt: 6860ms, Schritt: -11296, Distanz: 3247.6mm
Zeitpunkt: 6880ms, Schritt: -11367, Distanz: 3268.0125mm
